objectid,filename,title,date,location,description,timestamp,subject,relation,rights,duration,camera_angle,contributor,frame_width,frame_height,frame_rate,display_template,object_location,youtubeid,format
044,,A Knight's Tale,2017-10-05,"Grinnell, Iowa","Inspired by a fantasy adventure. An energetic, syncopated melody that tells a winding tale as it passes through multiple distinct sections.",00:00:01 part 1; 00:00:20 part 2; 00:00:40 part 3; 00:01:54 part 4,fantasy; adventure; energetic; syncopated; heroic,,"This content belongs to Maria Shriver. For permission to use this content, please contact the creator.",00:02:16,face-down,,360,640,15.00 fps,video,https://youtube.com/shorts/nL9WPZGW7eA?feature=share,nL9WPZGW7eA,record
045,,Ashes in the Wind,2017-09-07,"Grinnell, Iowa","Inspired by the aftermath of a forest fire. An intense, fluttering opening transitions into a restless, haunting melody.",00:00:01 opening; 00:02:10 melody; 00:03:02 bridge; 00:03:30 melody; 00:03:54 ending,intense; fluttering; restless; haunting,,"This content belongs to Maria Shriver. For permission to use this content, please contact the creator.",00:05:39,face-down,,720,1280,15.00 fps,video,https://youtu.be/6ytcujuIK_8,6ytcujuIK_8,record
046,,Song of Summer,2017-08-25,"Grinnell, Iowa","A cheerful, upbeat melody.",00:00:01 opening; 00:00:23 melody; 00:00:43 repeat; 00:01:04 variation; 00:01:27 melody,"cheerful; upbeat; energetic; summer",,"This content belongs to Maria Shriver. For permission to use this content, please contact the creator.",00:02:05,face-down,,720,1280,15.00 fps,video,https://youtube.com/shorts/Qze249YmnJ4?feature=share,Qze249YmnJ4,record
047,,Waterfalls,2017-08-25,"Grinnell, Iowa",Inspired by cascading water. An impetuous melody in perpetual motion.,00:00:01 melody; 00:00:20 bridge; 00:00:32 melody; 00:00:51 variation,impetuous; perpetual motion; water,,"This content belongs to Maria Shriver. For permission to use this content, please contact the creator.",00:01:42,face-down,,720,1280,14.96 fps,video,https://youtube.com/shorts/PBpbcAC6VUA?feature=share,PBpbcAC6VUA,record
048,,Soaring,2017-08-25,"Grinnell, Iowa",A spirited melody with an energetic pulse.,00:00:00 melody; 00:00:50 bridge; 00:01:21 melody,spirited; energetic,,"This content belongs to Maria Shriver. For permission to use this content, please contact the creator.",00:02:17,face-down,,720,1280,15.00 fps,video,https://youtube.com/shorts/OlICeetsAyE?feature=share,OlICeetsAyE,record
049,,Celestial Light,2017-08-25,"Grinnell, Iowa",Inspired by outer space. An ethereal melody that builds momentum.,00:00:01 opening; 00:00:27 melody; 00:01:30 variation; 00:02:24 ending,ethereal; building momentum; outer space,,"This content belongs to Maria Shriver. For permission to use this content, please contact the creator.",00:02:59,face-down,,720,1280,15.00 fps,video,https://youtube.com/shorts/sRsB70WMdjI?feature=share,sRsB70WMdjI,record
050,,Hustle and Bustle,2017-08-25,"Grinnell, Iowa","Inspired by bustling city streets. A lively, energetic melody with steady offbeats mimicking a car alarm.",00:00:01 melody; 00:00:51 variation,lively; energetic; offbeats,,"This content belongs to Maria Shriver. For permission to use this content, please contact the creator.",00:01:36,face-down,,720,1280,14.98 fps,video,https://youtube.com/shorts/a5ZHh3FnQWg?feature=share,a5ZHh3FnQWg,record
051,,Waves,2017-08-25,"Grinnell, Iowa",Inspired by the ocean tide. A wistful melody ebbs and flows.,00:00:01 opening; 00:00:24 melody; 00:01:20 variation; 00:01:42 ending,wistful; ebb and flow; water,,"This content belongs to Maria Shriver. For permission to use this content, please contact the creator.",00:02:03,face-down,,360,640,15.00 fps,video,https://youtube.com/shorts/vfgk0qav2wY?feature=share,vfgk0qav2wY,record
052,,Bittersweet Goodbye,2017-08-25,"Grinnell, Iowa","A bittersweet, tender farewell.",00:00:01 melody; 00:00:46 repeat; 00:01:09 variation; 00:01:29 repeat,bittersweet; tender; goodbye; farewell,,"This content belongs to Maria Shriver. For permission to use this content, please contact the creator.",00:01:53,face-down,,360,640,15.00 fps,video,https://youtube.com/shorts/tGZf7F2zQA4?feature=share,tGZf7F2zQA4,record
053,,Lonely Moon,2017-08-25,"Grinnell, Iowa","Inspired by a mysterious moonlit night. A forlorn, romantic melody.",00:00:00 opening; 00:00:20 melody; 00:00:59 bridge; 00:01:19 variation; 00:01:56 ending,mysterious; forlorn; romantic,,"This content belongs to Maria Shriver. For permission to use this content, please contact the creator.",00:02:29,face-down,,720,1280,15.00 fps,video,https://youtube.com/shorts/Brr1HnSAytQ?feature=share,Brr1HnSAytQ,record
054,,Ballerina,2017-05-05,"Grinnell, Iowa",Inspired by a delicate ballerina. A graceful lullaby waltz.,00:00:01 opening; 00:00:12 melody; 00:00:34 variation; 00:00:48 repeat,dance; graceful; delicate; lullaby; waltz,,"This content belongs to Maria Shriver. For permission to use this content, please contact the creator.",00:01:26,face-down,,720,1280,15.00 fps,video,https://youtube.com/shorts/O4IXv1URxXw?feature=share,O4IXv1URxXw,record
055,,Rainy Day,2017-04-20,"Grinnell, Iowa","Inspired by a thunderstorm. An ominous, restless melody that builds tension like a brewing storm.",00:00:01 melody; 00:00:52 building tension; 00:01:44 melody,ominous; restless; building tension; thunderstorm; rain,,"This content belongs to Maria Shriver. For permission to use this content, please contact the creator.",00:02:12,face-down,,360,640,15.00 fps,video,https://youtube.com/shorts/fn3iy8DNPzY?feature=share,fn3iy8DNPzY,record
056,,Train Ride,2017-04-17,"Grinnell, Iowa",Inspired by a steam engine. An upbeat melody with a chugging pulse.,00:00:01 melody; 00:00:34 chugging begins,upbeat; train,,"This content belongs to Maria Shriver. For permission to use this content, please contact the creator.",00:01:56,face-down,,360,640,15.00 fps,video,https://youtube.com/shorts/3z3KPR842CM?feature=share,3z3KPR842CM,record
057,,Misty Mountains,2017-04-17,"Grinnell, Iowa","Inspired by an empty, echoing landscape. A wistful, forlorn melody.",00:00:01 opening; 00:00:24 melody; 00:00:50 variation; 00:01:15 melody; 00:01:36 ending,wistful; forlorn; echoes,,"This content belongs to Maria Shriver. For permission to use this content, please contact the creator.",00:01:56,face-down,,720,1280,15.00 fps,video,https://youtube.com/shorts/yLC5P6g1S4k?feature=share,yLC5P6g1S4k,record
058,,Galloping,2017-04-17,"Grinnell, Iowa","Inspired by a galloping horse. A determined, upbeat melody with a steady pulse.",00:00:01 melody; 00:00:29 bridge; 00:00:57 melody; 00:01:20 variation; 00:01:35 melody,determined; upbeat; steady; galloping,,"This content belongs to Maria Shriver. For permission to use this content, please contact the creator.",00:02:04,face-down,,720,1280,15.00 fps,video,https://youtube.com/shorts/a1ZVpBBPoBM?feature=share,a1ZVpBBPoBM,record
059,,Lullaby,2017-04-17,"Grinnell, Iowa","A tender, delicate lullaby.",00:00:01 opening; 00:00:16 melody; 00:00:42 repeat,tender; delicate; lullaby,,"This content belongs to Maria Shriver. For permission to use this content, please contact the creator.",00:01:27,face-down,,720,1280,15.00 fps,video,https://youtube.com/shorts/oSdAzbAnnlA?feature=share,oSdAzbAnnlA,record
060,,Japanese Breeze,2017-04-17,"Grinnell, Iowa","A refreshing, spirited melody.",00:00:01 melody; 00:00:30 repeat,refreshing; spirited,,"This content belongs to Maria Shriver. For permission to use this content, please contact the creator.",00:01:00,face-down,,640,360,15.00 fps,video,https://youtu.be/N0mCClqzyC0,N0mCClqzyC0,record
061,,Grandma's House,2017-04-17,"Grinnell, Iowa","Inspired by tender nostalgia for a loved one's home. A bittersweet, wistful melody.",00:00:01 melody; 00:00:30 variation; 00:00:48 melody,tender; bittersweet; wistful,,"This content belongs to Maria Shriver. For permission to use this content, please contact the creator.",00:01:19,face-down,,640,360,15.00 fps,video,https://youtu.be/hxcgTz1Ym-A,hxcgTz1Ym-A,record
062,,Fairytale,2017-04-13,"Grinnell, Iowa","Inspired by a mysterious fairytale. A wistful, fluttering melody.",00:00:01 melody; 00:01:14 repeat; 00:02:26 repeat,mysterious; wistful; fluttering; fantasy,,"This content belongs to Maria Shriver. For permission to use this content, please contact the creator.",00:03:10,face-down,,360,640,15.00 fps,video,https://youtu.be/LrPbUWDWSh0,LrPbUWDWSh0,record
